anzahl;vorname;geschlecht;position
257;Marie;w;2
170;Sophie;w;2
144;Maria;w;2
109;Noah;m;1
104;Marie;w;1
103;Emilia;w;1
95;Paul;m;1
89;Ben;m;1
87;Mia;w;1
84;Jonas;m;1
82;Mila;w;1
79;Lina;w;1
78;Anton;m;1
77;Tom;m;1
76;Alexander;m;2
76;Emma;w;1
76;Leon;m;1
74;Anna;w;1
72;Lea;w;1
71;Felix;m;1
65;Elias;m;1
65;Oskar;m;1
64;Ella;w;1
62;Maximilian;m;2
61;Liam;m;1
60;Theo;m;1
57;Katharina;w;2
57;Jakob;m;1
57;Leo;m;1
56;Charlotte;w;1
56;Clara;w;1
56;Leni;w;1
56;Leonard;m;1
55;Henry;m;1
54;Maximilian;m;1
53;Lena;w;1
53;Sophia;w;1
52;Sophie;w;1
52;David;m;1
52;Luis;m;1
52;Moritz;m;1
51;Greta;w;1
51;Jonathan;m;1
50;Leonie;w;1
50;Finn;m;1
50;Milan;m;1
48;Julian;m;1
48;Mats;m;1
47;Luca;m;1
46;Elif;w;1
45;Julius;m;1
44;Charlotte;w;2
44;Lara;w;1
44;Paula;w;1
43;Emily;w;1
43;Hanna;w;1
43;Luisa;w;1
43;Mina;w;1
43;Adam;m;1
42;Elisabeth;w;2
42;Johanna;w;2
42;Tim;m;1
42;Vincent;m;1
41;Ida;w;1
41;Louis;m;1
40;Elias;m;2
40;Elisa;w;1
40;Hannah;w;1
40;Alexander;m;1
40;Lukas;m;1
39;Johanna;w;1
39;Klara;w;1
38;Mira;w;1
38;Henri;m;1
37;Lia;w;1
37;Mathilda;w;1
37;Emil;m;1
36;Paul;m;2
36;Matilda;w;1
36;Sofia;w;1
36;Max;m;1
35;Nele;w;1
35;Jan;m;1
34;Frida;w;1
34;Nora;w;1
34;Levi;m;1
33;Amelie;w;1
32;Ali;m;2
32;Anton;m;2
32;Anna;w;2
32;Emilia;w;2
32;Luise;w;2
32;Sophia;w;2
32;Emir;m;1
32;Frieda;w;1
32;Karl;m;1
32;Marlene;w;1
32;Yusuf;m;1
32;Tilda;w;1
31;Samuel;m;1
31;Lotta;w;1
31;Theodor;m;1
31;Maja;w;1
31;Romy;w;1
30;Benjamin;m;1
30;Matteo;m;1
30;Niklas;m;1
29;Mara;w;1
29;Maria;w;1
29;Philipp;m;1
28;Johann;m;2
28;Nur;w;2
28;Maya;w;1
28;Mika;m;1
28;Melina;w;1
28;Sarah;w;1
27;David;m;2
27;Amalia;w;1
27;Antonia;w;1
27;Ela;w;1
27;Laura;w;1
27;Lisa;w;1
26;Luisa;w;2
26;Erik;m;1
26;Fabian;m;1
26;Gabriel;m;1
26;Helena;w;1
26;Sara;w;1
25;Jakob;m;2
25;Peter;m;2
25;Daniel;m;1
25;Lian;m;1
25;Alina;w;1
25;Carla;w;1
25;Isabella;w;1
25;Jana;w;1
24;Johannes;m;2
24;Josefine;w;2
24;Ali;m;1
24;Johann;m;1
24;Jonah;m;1
24;Piet;m;1
24;Carlotta;w;1
24;Julia;w;1
24;Lilly;w;1
23;Karl;m;2
23;Valentin;m;2
23;Ava;w;1
23;Elena;w;1
22;Elisa;w;2
22;Adrian;m;1
22;Jasper;m;1
22;Mateo;m;1
22;Ole;m;1
22;Simon;m;1
22;Juna;w;1
22;Louisa;w;1
22;Victoria;w;1
21;Felix;m;2
21;Gabriel;m;2
21;Henry;m;2
21;Pauline;w;2
21;Josef;m;2
21;Philipp;m;2
21;Bruno;m;1
21;Carl;m;1
21;Johannes;m;1
21;Joshua;m;1
21;Malik;m;1
21;Alessia;w;1
21;Olivia;w;1
21;Pauline;w;1
20;Victoria;w;2
20;Ilyas;m;1
20;Leonardo;m;1
20;Milo;m;1
20;Toni;m;1
20;Valentin;m;1
20;Zoe;w;1
19;Emil;m;2
19;Jannis;m;1
19;Karla;w;1
19;Jona;m;1
19;Luise;w;1
19;Luna;w;1
19;Thea;w;1
19;Zeynep;w;1
18;Maria;w;3
18;Marlene;w;2
18;Benjamin;m;2
18;Jonathan;m;2
18;Julius;m;2
18;Leonard;m;2
18;Matthias;m;2
18;Michael;m;2
18;Noah;m;2
18;Aaron;m;1
18;Kian;m;1
18;Marlon;m;1
18;Muhammed;m;1
18;Liya;w;1
18;Till;m;1
18;Paulina;w;1
18;Ömer;m;1
17;Louise;w;2
17;Eva;w;1
17;Benedikt;m;1
17;Luana;w;1
17;Constantin;m;1
17;Meryem;w;1
17;Luan;m;1
17;Stella;w;1
16;Josephine;w;2
16;Sofia;w;2
16;Su;w;2
16;Jan;m;2
16;Julian;m;2
16;Luca;m;2
16;Lukas;m;2
16;Alessio;m;1
16;Elina;w;1
16;Emilio;m;1
16;Josefine;w;1
16;Jonte;m;1
16;Merle;w;1
16;Justus;m;1
16;Milla;w;1
16;Kaan;m;1
16;Rosa;w;1
16;Mikail;m;1
16;Timo;m;1
15;Matilda;w;2
15;Daniel;m;2
15;Alma;w;1
15;Amelia;w;1
15;Carlo;m;1
15;Amina;w;1
15;Frederik;m;1
15;Hira;w;1
15;Kilian;m;1
15;Pia;w;1
15;Nils;m;1
14;Rose;w;2
14;Friedrich;m;2
14;Leon;m;2
14;Levi;m;2
14;Sebastian;m;2
14;Isabel;w;1
14;Ferdinand;m;1
14;Isabelle;w;1
14;Lennard;m;1
14;Jule;w;1
14;Lucas;m;1
14;Katharina;w;1
14;Luka;m;1
14;Liv;w;1
14;Rafael;m;1
14;Raphael;m;1
13;Can;m;2
13;Jonas;m;2
13;Louis;m;2
13;Maria;m;2
13;Martin;m;2
13;Alva;w;1
13;Finja;w;1
13;Benno;m;1
13;Linda;w;1
13;Deniz;m;1
13;Nina;w;1
13;Emilian;m;1
13;Viola;w;1
13;Florian;m;1
13;Fritz;m;1
13;Hannes;m;1
13;Jannik;m;1
13;Maxim;m;1
13;Nick;m;1
13;Pepe;m;1
13;Sam;m;1
12;Isabella;w;2
12;Julia;w;2
12;Louisa;w;2
12;Ferdinand;m;2
12;Georg;m;2
12;Oskar;m;2
12;Samuel;m;2
12;Theodor;m;2
12;Alice;w;1
12;Ayla;w;1
12;Elisabeth;w;1
12;Emmi;w;1
12;Fiona;w;1
12;Josephine;w;1
12;Lana;w;1
12;Leyla;w;1
12;Arian;m;1
12;Malia;w;1
12;Damian;m;1
12;Nisa;w;1
12;Linus;m;1
12;Matti;m;1
12;Mert;m;1
12;Miraç;m;1
12;Mohammed;m;1
11;Sophie;w;3
11;Lena;w;2
11;Magdalena;w;2
11;Valentina;w;2
11;Carl;m;2
11;Finn;m;2
11;Frederik;m;2
11;Henri;m;2
11;Leo;m;2
11;Wilhelm;m;2
11;Aaliyah;w;1
11;Aleyna;w;1
11;Anastasia;w;1
11;Aurora;w;1
11;Ellen;w;1
11;Amin;m;1
11;Emilie;w;1
11;Arthur;m;1
11;Miray;w;1
11;Konstantin;m;1
11;Nela;w;1
11;Lasse;m;1
11;Lennox;m;1
11;Lias;m;1
11;Lio;m;1
11;Martin;m;1
11;Mohamed;m;1
11;Mohammad;m;1
11;Musa;m;1
11;Nicolas;m;1
11;Philip;m;1
11;Rayan;m;1
